timestamp,timestamp_sec,lip_movement,audio_energy,sync_score,is_suspicious
00:00.00,0.0,0.0184,0.4968,0.6164,True
00:00.20,0.2,0.0209,0.3774,0.712,True
00:00.40,0.4,0.0236,0.2337,0.7059,True
00:00.60,0.6,0.0242,0.2013,0.7456,True
00:00.80,0.8,0.0244,0.3102,0.7333,True
00:01.00,1.0,0.0229,0.4594,0.721,True
00:01.20,1.2,0.0208,0.5103,0.6424,True
00:01.40,1.4,0.0211,0.4158,0.6455,True
00:01.60,1.6,0.0203,0.2635,0.7463,True
00:01.80,1.8,0.0212,0.1948,0.7371,True
00:02.00,2.0,0.0214,0.2735,0.6851,True
00:02.20,2.2,0.02,0.4262,0.7926,False
