timestamp,timestamp_sec,lip_movement,audio_energy,sync_score,is_suspicious
00:00.00,0.0,0.0197,0.3558,0.8564,False
00:00.20,0.2,0.0209,0.3417,0.9296,False
00:00.40,0.4,0.0223,0.361,0.9343,False
00:00.60,0.6,0.0218,0.3376,0.9349,False
00:00.80,0.8,0.0214,0.3645,0.932,False
00:01.00,1.0,0.0213,0.3348,0.9358,False
00:01.20,1.2,0.0212,0.3667,0.931,False
00:01.40,1.4,0.0187,0.3333,0.9333,False
00:01.60,1.6,0.0192,0.3675,0.9398,False
00:01.80,1.8,0.0189,0.3334,0.9346,False
00:02.00,2.0,0.0184,0.3667,0.9352,False
00:02.20,2.2,0.0185,0.3346,0.9256,False
